"node","degree_centrality","betweenness_centrality","closeness_centrality","clustering_coefficient"
"4555",1,0,1,0
"7799",1,0,0.538,0
"1028",1,0,0.538,0
"10852",1,0,0.538,0
"4622",1,0,0.538,0
"7902",1,0,0.538,0
"1720",1,0,0.538,0
"10068",1,0,0.538,0
"6436",1,0,0.19,0
"1423",1,0,0.19,0
"5812",1,0,0.522,0
"7798",1,0,0.522,0
"2477",1,0,0.522,0
"5699",1,0,0.522,0
"5446",1,0,0.522,0
"4063",1,0,0.522,0
"6251",1,0,0.522,0
"8153",1,0,0.522,0
"2410",1,0,0.522,0
"9738",1,0,0.522,0
"4930",1,0,0.522,0
"10934",1,0,0.522,0
"8603",1,0,0.245,0
"6559",1,0,0.245,0
"1632",1,0,0.245,0
"5841",1,0,0.245,0
"1963",2,0.001,0.252,0
"6394",1,0,0.245,0
"2390",1,0,0.245,0
"2803",1,0,0.245,0
"9350",1,0,0.245,0
"6583",1,0,0.245,0
"6770",1,0,0.245,0
"929",1,0,0.245,0
"4133",2,0.001,0.259,0
"1112",1,0,0.245,0
"7140",1,0,0.245,0
"4464",1,0,0.245,0
"8825",1,0,0.245,0
"5663",1,0,0.245,0
"8457",1,0,0.245,0
"6599",1,0,0.245,0
"2565",1,0,0.245,0
"5890",1,0,0.245,0
"8854",1,0,0.245,0
"11440",1,0,0.245,0
"4856",1,0,0.245,0
"2188",1,0,0.245,0
"1348",1,0,0.245,0
"10510",1,0,0.245,0
"4874",1,0,0.245,0
"10733",1,0,0.245,0
"1177",1,0,0.245,0
"5551",1,0,0.245,0
"1183",1,0,0.245,0
"288",1,0,0.245,0
"119",1,0,0.245,0
"7034",1,0,0.245,0
"4913",1,0,0.245,0
"1478",1,0,0.245,0
"9656",1,0,0.245,0
"8565",1,0,0.245,0
"1776",1,0,0.245,0
"3682",1,0,0.245,0
"686",1,0,0.245,0
"11526",1,0,0.245,0
"6891",1,0,0.245,0
"6351",1,0,0.245,0
"10957",1,0,0.245,0
"11159",1,0,0.245,0
"11163",2,0.001,0.252,0
"3175",1,0,0.245,0
"7075",1,0,0.245,0
"10032",1,0,0.245,0
"8586",1,0,0.245,0
"7832",1,0,0.245,0
"4266",1,0,0.191,0
"8060",1,0,0.191,0
"5171",1,0,0.191,0
"11165",1,0,0.191,0
"171",1,0,0.571,0
"10701",1,0,0.571,0
"10628",1,0,0.571,0
"3190",1,0,0.571,0
"3307",1,0,0.173,0
"4267",1,0,0.173,0
"1509",1,0,0.173,0
"8606",1,0,0.173,0
"5027",2,0.015,0.263,0
"6158",1,0,0.173,0
"1662",1,0,0.173,0
"1246",1,0,0.173,0
"10982",1,0,0.173,0
"3062",1,0,0.238,0
"728",2,0,0.246,0
"2741",1,0,0.238,0
"6605",1,0,0.238,0
"9118",1,0,0.238,0
"10116",1,0,0.238,0
"11093",1,0,0.238,0
"4168",1,0,0.238,0
"6069",1,0,0.238,0
"5345",1,0,0.238,0
"7724",1,0,0.238,0
"8324",1,0,0.238,0
"6356",2,0,0.246,0
"11161",1,0,0.238,0
"783",1,0,0.238,0
"9210",1,0,0.238,0
"5759",1,0,0.238,0
"970",1,0,0.238,0
"5522",1,0,0.238,0
"6367",1,0,0.238,0
"2682",1,0,0.238,0
"745",1,0,0.238,0
"7823",1,0,0.238,0
"8444",2,0,0.245,0
"3483",2,0,0.245,0
"3892",1,0,0.238,0
"11068",1,0,0.238,0
"801",1,0,0.238,0
"8200",1,0,0.238,0
"9666",1,0,0.667,0
"861",1,0,0.667,0
"3033",1,0,0.6,0
"8499",1,0,0.6,0
"1854",1,0,0.6,0
"3339",1,0,1,0
"381",2,0.005,0.262,0
"9913",1,0,0.172,0
"4043",1,0,0.172,0
"11119",2,0,0.211,1
"4660",1,0,0.175,0
"1648",1,0,0.175,0
"9642",1,0,0.175,0
